name,state,stars,category
Mandarin Palace,CA,3.0,Chinese
Penang,NJ,3.0,Thai
Stock Rittenhouse,PA,3.5,Vietnamese
Azaad Foods,PA,4.0,Indian
CaiE's Oriental Cafe,NV,3.0,Chinese
Ice Point Cafe,TN,5.0,Korean
Great Taste Chinese Food,PA,3.5,Chinese
Halal Fusion Chinese Restaurant,PA,3.5,Chinese
China Wok,FL,3.0,Chinese
Panda Express,LA,3.0,Chinese
The King & I Restaurant,FL,3.5,Thai
Hoshun Restaurant,LA,3.5,Chinese
Tokyo Bay Mang' Sushi & Japanese Steakhouse,FL,3.5,Thai
Greater India,PA,2.5,Indian
Ching Garden 2,IN,3.5,Chinese
King Dragon,IN,3.5,Chinese
Nan Restaurant,PA,4.0,Thai
Island Buffet,NV,3.0,Japanese
Fortune Cookie Restaurant,NJ,3.5,Chinese
Kang's Garden,FL,3.5,Chinese
On A Roll Sushi,FL,4.0,Thai
Southeast Kitchen,DE,4.0,Vietnamese
China Gate Restaurant,FL,3.0,Chinese
China 1,FL,3.5,Chinese
Andy's Chicken,PA,4.5,Korean
Sasa Japanese & Chinese Restaurant,PA,3.0,Thai
Ipoke Express,MO,4.0,Japanese
China Max,FL,2.5,Chinese
Kebab N Kurry,MO,4.5,Indian
King Wok Chinese Restaurant,PA,2.5,Chinese
Asuka Sushi,NJ,4.0,Japanese
Lemongrass Thai,TN,4.0,Thai
Osaki Japanese Cuisine,PA,4.0,Japanese
Grille One Nine,FL,3.5,Japanese
Yummy Garden,FL,4.5,Chinese
Ratchada Thai & Laos Cuisine,PA,4.0,Thai
Beijing Garden,PA,2.5,Chinese
Original Thai Restaurant,NV,4.5,Thai
TSM Kitchen & Bar,FL,4.5,Thai
China Family,NJ,3.0,Chinese
Linh Mi Gia,MO,4.5,Vietnamese
Palace Asian Restaurant,NJ,4.0,Thai
House of Cheung,IN,4.5,Chinese
Pho Bang Restaurant,LA,4.0,Vietnamese
New Century Buffet,TN,1.5,Chinese
Jin Wei,PA,3.5,Chinese
Best Of Meats,ID,3.5,Japanese
Yum Yum Asian Fusion,NJ,3.5,Thai
New China,FL,2.5,Chinese
China Panda,TN,4.0,Chinese
China Express,IN,3.5,Chinese
Wild Wasabi,TN,4.0,Japanese
Modai,MO,2.5,Japanese
Thai Ginger,FL,4.0,Thai
Pak Yue Chinese Restaurant,PA,4.0,Chinese
Kabob & Grill Indian Cuisine,PA,4.5,Indian
Sohkdii Restaurant,FL,4.5,Thai
So Gong Dong,NJ,4.0,Korean
Panda Garden Chinese Restaurant,PA,2.5,Chinese
Taj Mahal Traditional Indian Cuisine,MO,4.0,Indian
Panda Express,NJ,2.5,Chinese
Gold Garden,NJ,3.5,Chinese
Tampopo,PA,3.5,Korean
Fortune Palace,NV,4.0,Chinese
Mandarin Express,PA,2.0,Chinese
China Inn,MO,3.5,Chinese
O-Ku Nashville,TN,4.5,Japanese
Pho Tan Vietnamese Cuisine,NJ,4.0,Vietnamese
Mikado Japanese Steak House,TN,3.5,Japanese
Sushi Kingdom,PA,3.5,Japanese
Sushi Poke,PA,4.5,Japanese
Thai Bistro,FL,4.0,Thai
China Dragon,DE,4.5,Chinese
Sushi 7,NV,3.5,Japanese
Faceless Samurai,FL,4.0,Thai
White Jasmin Thai Cuisine,PA,4.5,Thai
Taaza Mart,FL,3.5,Indian
Rice Box Kitchen,NV,5.0,Thai
Seraphim Asian Grill,IN,4.5,Japanese
H2O Sushi,IN,4.5,Japanese
Mekong Vietnamese Restaurant,FL,3.5,Vietnamese
Golden City Chinese Restaurant,PA,2.5,Chinese
Nam Van Noodle Cafe,NV,4.0,Vietnamese
Szechuan Express,PA,4.0,Chinese
GMG Chinese Bistro,AZ,3.5,Chinese
Curries & More,LA,3.0,Indian
U-City Grill,MO,4.0,Korean
Woksabi Now Known as Chow's Chinese Restaurant,NJ,3.5,Chinese
sunny china,MO,4.0,Chinese
Thanh Trúc Bistro,LA,3.0,Vietnamese
China Phoenix Restaurant,AZ,3.5,Chinese
Ban Bamboo,PA,4.0,Thai
China's Best,IN,2.0,Chinese
Soul Of Korea,FL,4.5,Korean
Tung Tung,FL,3.0,Chinese
Koi Sushi & Hibachi,IN,4.5,Japanese
Hong Kong Chinese,FL,3.0,Chinese
Saki Endless Sushi and Hibachi Eatery,FL,3.0,Japanese
Cafe Mochi,MO,4.0,Japanese
Daiwa Sushi Bar & Japanese Cuisine - Metairie,LA,4.0,Japanese
Lucky Star Asian Cuisine,PA,4.0,Thai
Chong Wah Restaurants,MO,3.5,Chinese
Joy Garden,ID,3.0,Chinese
China Express,DE,3.0,Chinese
Sake Cafe of Chateau,LA,3.5,Japanese
Umai Royal,PA,3.5,Thai
Panda Pavilion,NJ,3.0,Chinese
Great Wall,PA,3.5,Chinese
The New Il Mi Jung,NJ,4.0,Korean
Panda Express,MO,3.0,Chinese
Maru Japanese Noodle Shop,AZ,3.5,Japanese
King's Restaurant,AZ,4.0,Vietnamese
New Era Indian Cuisine,PA,4.5,Indian
Oriental Pearl Restaurant,NJ,4.0,Thai
JA Ramen Curry,AZ,4.0,Japanese
My Thai Cuisine,LA,4.0,Thai
China King,PA,3.0,Chinese
Lucky Wok Chinese Restaurant,PA,4.0,Chinese
Sammy Chon's Koagie Truck,PA,3.5,Korean
Pho 9,NJ,4.0,Vietnamese
Hibachi Grill & Supreme Sushi Buffet,DE,3.0,Chinese
Sushi House,PA,4.0,Japanese
Pho Viet,PA,3.5,Vietnamese
Bodeli Sushi Restaurant,TN,3.5,Japanese
Egg Roll King 3,NV,2.5,Chinese
Cafe Equator,LA,3.5,Thai
Singha Thai Cafe,LA,3.0,Thai
Gaya,PA,3.5,Korean
Sushi Shoya,FL,4.0,Thai
Aiyara Thai & Sushi,TN,3.5,Thai
Chengdu Famous Food,PA,4.0,Chinese
Orient Wok Chop Suey,IL,3.5,Chinese
Yummy Yummy,PA,4.0,Chinese
Hong Kong Restaurant,IN,4.0,Chinese
China King II,IN,3.5,Chinese
Origami Sushi,FL,4.0,Japanese
Ateethi,PA,4.0,Indian
Ishii,FL,1.5,Japanese
Yoho Asian Bistro,NJ,4.5,Japanese
Azie,PA,3.5,Vietnamese
Ginza,FL,3.5,Japanese
China Grand Buffet,ID,3.5,Chinese
Kiin Essentially Thai,MO,4.5,Thai
Gee's Garden Restaurant,AZ,3.0,Chinese
Yummy Pho Bac,TN,4.0,Vietnamese
Jing Fong Restaurant,DE,3.0,Chinese
Garden China,PA,3.0,Chinese
Thai Tida By Mike & Natta,NJ,3.5,Thai
Korean Barbie Q,NV,3.5,Korean
Hana Sushi House,TN,4.0,Japanese
Rasoi Indian Cuisine,FL,4.5,Indian
Thai Chili 88,NJ,4.0,Thai
Gimeal Cafe,CA,4.5,Chinese
Ming's,LA,4.0,Chinese
Pho Bar,FL,4.0,Vietnamese
Blue Elephant Royal Thai Cuisine,MO,3.5,Thai
Li Yuan Restaurant,MO,3.5,Chinese
Pho Phat Tai,FL,4.5,Vietnamese
BIBIBOP Asian Grill,IN,4.0,Korean
Kabuke Japanese Steak House,PA,3.0,Japanese
wok my way,PA,4.0,Chinese
Ho King,FL,3.0,Chinese
Coconut Grove Bistro,PA,3.5,Chinese
Hyderabad House Biryani Place,TN,3.5,Indian
Blue House,DE,4.5,Korean
Wasabi Japanese's Cuisine,NJ,3.5,Japanese
Toyotomi Sushi Bar &  Asian Cuisine,PA,4.5,Japanese
Northtowne China Inn,PA,3.0,Chinese
Hikaru Restaurant,PA,3.5,Japanese
Ume,AZ,3.0,Chinese
Choolaah,PA,4.0,Indian
Gao's Noodle House,NV,4.0,Vietnamese
Mandu Roo,PA,4.0,Korean
Teas N' Mi,PA,4.0,Indian
Nan Tian BBQ,AZ,3.5,Chinese
Green Papaya,NV,3.5,Thai
Lasaka,PA,3.5,Japanese
Ice Spice Cafe,FL,5.0,Indian
Umai Japanese Cuisine,FL,4.0,Japanese
China Dish,MO,3.5,Chinese
Oishi Sushi & Thai,FL,4.5,Thai
Wasabi,NJ,2.5,Chinese
Mongolian BBQ,ID,4.0,Chinese
Tarka Restaurant,PA,2.5,Indian
Ruby Thai,DE,3.5,Thai
China Bowl,NJ,3.5,Chinese
China Star Restaurant,IL,3.0,Chinese
Chung Sing Restaurant,PA,3.5,Chinese
Canton Express,NJ,3.5,Chinese
Spice Box,IN,3.5,Indian
Asian Halal Meat And Kabab House,PA,3.0,Indian
Best Wok Chinese,TN,3.5,Chinese
New China Restaurant,IL,3.0,Chinese
Hong Kong Restaurant,MO,4.0,Chinese
Cha Yoon Sushi & Tea Bar,MO,4.0,Japanese
Panda Express,AZ,1.5,Chinese
Ahi Sushi Bar,ID,4.0,Japanese
Hong Kong,FL,3.0,Chinese
China Dragon,PA,3.0,Chinese
Oishi,PA,4.0,Korean
House of Chiu,IL,4.0,Chinese
Double Tap Pub,ID,3.5,Thai
Asian Cuisine Boise,ID,3.5,Vietnamese
Kim's Restaurant,PA,4.0,Korean
China King,MO,4.0,Chinese
China Village,TN,3.5,Chinese
FinBomb Sushi Burrito & Poke Bar,NV,4.0,Japanese
Star Karaoke & Cafe,MO,3.5,Chinese
Thai Chef & Noodle Fusion,PA,4.5,Thai
Wajoe,PA,3.0,Korean
Tei Too,MO,3.5,Thai
Sonobana Japanese Restaurant and Grocery,TN,4.0,Japanese
Madhuban Indian Cuisine,ID,4.0,Indian
Pho Thai Nam Restaurant,PA,4.0,Vietnamese
Bangkok Thai,LA,3.5,Thai
China Buffet & Grill,TN,2.5,Chinese
Taj-E-India,PA,4.5,Indian
Nala Indian & Thai Cuisine,PA,3.5,Indian
Five Happiness Chinese Restaurant,LA,3.0,Chinese
The Lemon Grass,FL,4.0,Thai
Golden Dragon,AZ,3.5,Chinese
Papa Kitchen,LA,4.0,Vietnamese
Fusion Wasabi,AZ,3.5,Japanese
Canton,PA,3.5,Chinese
The Cub and Bunny,NJ,4.5,Korean
Fortune Village,TN,4.0,Chinese
Panda Express,IN,2.0,Chinese
K-Fusion Korean BBQ,ID,3.0,Korean
Takumi Sushi Hibachi,IN,4.5,Japanese
Wok To Go,LA,3.5,Chinese
Sang Tong Thai,NJ,5.0,Thai
Mama Yang and Daughter,TN,5.0,Chinese
Golden Bowl,PA,3.5,Chinese
OEC Japanese Express,FL,4.0,Japanese
Chaatable,TN,4.0,Indian
Suki Hana,NJ,4.0,Japanese
Mr Currys India Restaurant,IL,4.0,Indian
China Moon,PA,3.0,Chinese
Thai Cafe,FL,3.5,Thai
Mustard Greens Restaurant,PA,4.0,Chinese
Jin House,PA,3.0,Chinese
Little Tokyo,LA,3.5,Japanese
Thai Paradise,IN,4.0,Thai
Sake Sake,LA,4.0,Japanese
Spice Avenue,CA,3.5,Indian
Tokyo Sushi Bar,FL,4.0,Japanese
Sakana Sushi Asian Fusion Restaurant,PA,3.5,Chinese
Singha Thai Viet Restaurant,FL,3.5,Vietnamese
Panda,MO,4.0,Chinese
KORI,PA,4.5,Korean
Panda Restaurant,MO,4.0,Chinese
Sun Ishi,PA,3.5,Thai
Harbor Asian Restaurant,NJ,4.0,Chinese
Korea House,AZ,4.0,Korean
First Wok Buffet,MO,2.0,Chinese
Sake Sushi Hibachi House,LA,3.5,Japanese
Nola Pho Life,LA,5.0,Vietnamese
Thang Long Vietnamese Food,FL,3.5,Vietnamese
St Louis Kitchen,MO,3.0,Chinese
Hong Kong Express,NV,3.5,Chinese
Thai Sweet,IN,4.0,Thai
Passage To India,IN,4.0,Indian
Siam Thai Restaurant,FL,4.0,Thai
Sake Mian,PA,4.0,Japanese
No 1 Chinese Restaurant,TN,2.5,Chinese
Pho Kien Giang,FL,4.5,Vietnamese
"Ramen, etc.",NV,3.5,Japanese
Kurry Korner,PA,4.0,Thai
Viet Kitchen,PA,3.0,Vietnamese
Golden Dragon,NJ,4.5,Chinese
New Chong Weh,MO,3.0,Chinese
Mandarin House,IN,3.0,Chinese
Pho Le,NJ,4.0,Vietnamese
Pacific Cafe,MO,3.0,Vietnamese
India Sizzling,IN,4.0,Indian
Arigato Japanese Steak House,FL,3.0,Japanese
Thai Lanna 2,FL,4.5,Thai
Sapporo,TN,4.5,Korean
Sapporo Steak House Indianapolis,IN,3.5,Japanese
General Tso Inn,IN,4.0,Chinese
The Moon Under Water,FL,3.5,Indian
Lotus Inn,PA,3.5,Chinese
Panda Express,AZ,2.0,Chinese
Sachi Ramen And Robata Bar,CA,4.0,Japanese
Chao Baan,MO,4.5,Thai
Thai Cuisine,MO,2.5,Thai
Ichicoro Imoto,FL,3.0,Japanese
Han Way,FL,4.0,Thai
Sushi Sake,MO,3.5,Japanese
Hiro's Tokyo Japanese Steak House & Sushi Bar,FL,2.5,Japanese
Veggie Lovers,PA,3.5,Chinese
Miso Hungry,CA,4.0,Japanese
Bistro Chopstix,IN,3.0,Japanese
Stir Crazy Fresh Asian Grill,MO,3.0,Chinese
Big Boyz Burgers and More,MO,4.0,Chinese
Amber Indian Restaurant,IN,3.5,Indian
Hissho Sushi,TN,3.0,Japanese
Pho 1,FL,4.0,Vietnamese
GuGu Asian Table,PA,4.5,Chinese
Patti's Kitchen,FL,4.5,Thai
China King,IN,4.0,Chinese
Mandarin Inn,PA,3.5,Chinese
China Max,TN,2.5,Chinese
Seoul Taco Food Truck,MO,4.0,Korean
Asian Cafe,NJ,3.5,Chinese
The Kebob Factory,PA,3.0,Indian
Panda Express,TN,2.5,Chinese
Woodlands Indian Vegetarian Cuisine,TN,4.0,Indian
David's Mai Lai Wah,PA,3.0,Chinese
Young's Chop Suey,IL,3.0,Chinese
Pho 99 Vietnamese Cuisine,LA,2.5,Vietnamese
AmeriThai,PA,4.0,Thai
China King,MO,3.5,Chinese
Dragon House,NJ,4.5,Chinese
The Twisted Tandoor,AZ,4.0,Indian
Long Chim Nola,LA,4.5,Thai
Red Pavilion Mandarin Cuisine,ID,4.0,Chinese
Chin's Kitchen,PA,3.0,Chinese
MiMi Seafood and Bánh Mì,LA,4.5,Vietnamese
Bossam Bar,PA,3.5,Korean
Tien Thai Pho,PA,3.0,Vietnamese
Wong Lee's Chinese Cuisine,FL,3.5,Chinese
Ha Long Bay,AZ,4.0,Vietnamese
Tokyo Bleu,NJ,4.0,Japanese
Aloy PatThai Restaurant,FL,4.5,Thai
Chauhan Ale & Masala House,TN,4.0,Indian
Pho Tay,ID,3.5,Vietnamese
Mika,CA,2.5,Japanese
Chinatown Chinese Restaurant,PA,3.0,Chinese
China Star,FL,4.0,Chinese
Pinang Asian Cuisine,DE,4.0,Thai
Wok House,MO,3.5,Chinese
Sakana Sushi Asian Grill,FL,4.0,Japanese
E.B.I. Sushi,FL,4.5,Chinese
Min Moon,LA,3.5,Chinese
Young's Fortune Restaurant,LA,3.5,Chinese
Asiana Garden,PA,4.0,Thai
Little Thai Market,PA,4.0,Thai
Asian Fusion & Steak,PA,3.5,Chinese
Hibachi Express Of Seminole,FL,5.0,Japanese
Little Asia,CA,2.5,Korean
Hong Kong Gourmet,PA,3.5,Chinese
Mama's House,IN,3.5,Korean
Mazia,PA,3.0,Korean
Chix & Bowls,PA,4.0,Korean
General 1,FL,3.0,Chinese
Sweet Buns Bakery,FL,4.5,Chinese
Tai Me Up,PA,4.0,Thai
BaiKu Sushi Lounge,MO,4.0,Japanese
Shangrila,PA,3.5,Chinese
Saigon Deli,FL,4.5,Vietnamese
Queen Chinese Restaurant,PA,3.5,Chinese
The PokéSpot,PA,4.0,Japanese
Maeda Restaurant,CA,3.5,Japanese
Ouyang House,TN,2.0,Chinese
Pearl Cafe,MO,4.5,Thai
New Moghul,PA,2.5,Indian
Kings Court Buffet,PA,2.5,Chinese
Song Huong Restaurant,FL,4.0,Vietnamese
Nice Chinese Restaurant,PA,2.5,Chinese
Hibachi Express,DE,3.0,Japanese
Crab general,IN,3.5,Japanese
Cafe Mi Quang,PA,5.0,Vietnamese
Humpty's Dumplings,PA,4.0,Chinese
Charlie's Chinese Cuisine,LA,3.5,Chinese
More Food Court,PA,4.0,Korean
Crawfish Asian Cuisine,NV,4.5,Chinese
Vila Thai Cuisine,AZ,2.5,Thai
Hawkers Asian Street Food - Nashville,TN,4.0,Chinese
Pho Real,IN,4.0,Vietnamese
St. Louis Pho,MO,4.0,Vietnamese
Renny's Oki Doki,FL,4.0,Japanese
Sakura,LA,2.5,Japanese
Sisters Korean Restaurant,IN,4.0,Korean
China House,PA,4.0,Chinese
Panda Express,MO,3.0,Chinese
Kazan,IN,3.5,Japanese
Tum Rub Thai,FL,4.0,Thai
Kyo Sushi,AZ,3.0,Japanese
China Ruby,LA,2.5,Chinese
Fast Wok,IN,4.0,Thai
Papa Thai Chef,NJ,4.5,Thai
Sakura Japanese Restaurant,TN,4.0,Thai
Zushi Sushi & Ramen,MO,4.5,Japanese
New Noodle Heaven,PA,3.5,Chinese
Tokyo Express,DE,4.0,Japanese
East King Buffet,PA,3.0,Chinese
Shang Hai Take Out,FL,4.0,Chinese
Aab India Restaurant,IN,3.0,Indian
BAMBU,PA,4.0,Vietnamese
Phoevermore,CA,4.0,Vietnamese
Suki Hana,FL,2.0,Japanese
Thai Fusion Kitchen,PA,4.5,Thai
Mayflower Chinese Restaurant,NJ,3.5,Chinese
Nooddi-Thai Chef,PA,2.5,Thai
Kooma,PA,4.0,Japanese
Kooma Viet & Chinese,PA,3.0,Chinese
Twin Dragon,NV,2.5,Chinese
Asian Palace,PA,3.5,Vietnamese
New Dragon Phoenix,TN,3.0,Chinese
Kombo Kitchen,FL,5.0,Thai
Taijiang Snackies,PA,4.5,Chinese
Sakura Japanese Restaurant,PA,4.5,Japanese
Rice N Roll,FL,3.5,Thai
China Star,FL,3.5,Chinese
Lulu's Chinese & Dim Sum,MO,3.0,Chinese
Hibachi of Valley Forge,PA,3.0,Japanese
Dejepe Bakery,LA,4.5,Vietnamese
iSushi,PA,3.0,Thai
P.F. Chang's,MO,3.0,Chinese
Temple Teppanyaki,PA,4.5,Korean
New China - Philadelphia,PA,4.0,Chinese
Sakura Japanese Sushi Restaurant,DE,4.5,Japanese
Tampa Taco,FL,5.0,Japanese
Indian Sizzler,PA,4.0,Indian
Bamboo Chinese Restaurant,NJ,2.0,Chinese
Tokyo Hibachi & Asian Fusion,NJ,2.5,Chinese
Chef Chun Chinese Restaurant,NJ,3.5,Chinese
Fujiyama Restaurant,ID,4.5,Japanese
Sa Ri One Lunch Box,FL,4.0,Korean
Mumbai Grill,IN,4.0,Indian
Ocean City,PA,3.0,Chinese
China Sun Chinese Restaurant,PA,3.0,Chinese
Basil Leaf,LA,3.0,Thai
Mantis Gourmet Chinese Food,AZ,4.5,Chinese
China King,MO,3.5,Chinese
Mimi Teriyaki,DE,4.5,Korean
China King,LA,4.0,Chinese
Pho Cali Vietnamese Restaurant,PA,3.5,Vietnamese
Mekong Fresh Noodle & Grill,ID,3.5,Vietnamese
Turbo Thai ,PA,4.5,Thai
Pad Thai,MO,4.5,Thai
Far East Chinese Cuisine,PA,5.0,Chinese
Kyushu Ramen & Sushi,PA,5.0,Japanese
New Yong's Village,NJ,4.0,Chinese
Pho Ha Saigon,PA,3.5,Vietnamese
Lin's Chinese Restaurant,NJ,4.0,Thai
Noor Greenwood,IN,4.5,Indian
New Harmony Vegetarian Restaurant,PA,4.0,Chinese
Sakura Japanese Cuisine,TN,4.5,Japanese
Dim Sum Factory - Philadelphia,PA,4.0,Chinese
Bonchon West Chester,PA,3.5,Korean
Ten Asian Food Hall,PA,3.5,Japanese
Vons Chicken,ID,4.5,Korean
Jia Xiang - Home,MO,3.5,Chinese
Gamers Heaven,PA,5.0,Japanese
China Inn Restaurant,DE,4.0,Chinese
Wild Rice Pan Asian Restaurant,PA,3.0,Chinese
Pho So 1,NJ,4.0,Vietnamese
Tokyo Tasty,NJ,3.5,Japanese
Pho & Cafe Viet Huong,PA,3.5,Vietnamese
Wasabi Japanese Steak House and Sushi Bar,FL,3.5,Japanese
Bangles Indian Cuisine,PA,3.5,Indian
Samurai,AZ,4.0,Japanese
Danny's Wok 3,PA,3.5,Chinese
Lona's Lil' Eats,MO,5.0,Thai
China Wok,IN,4.0,Chinese
Panda Express,NV,2.5,Chinese
New Wong House,PA,4.5,Chinese
Kumo Sushi & Asian Bistro,PA,4.0,Japanese
Ming's Garden,PA,2.5,Chinese
China City Restaurant,FL,4.0,Chinese
Northland Chop Suey Chinese Restaurant,MO,4.5,Chinese
China Kitchen,MO,3.5,Chinese
The Rice House,MO,2.0,Vietnamese
Koto Sushi,PA,4.5,Japanese
Dong Huan Restaurant,NJ,4.0,Korean
China Spring,TN,3.5,Chinese
Baker Boss Cafe,TN,4.5,Vietnamese
Great Wall Restaurant,LA,3.5,Chinese
Genji Ramen and Sushi Bar,NJ,4.0,Japanese
Koizi Endless Hibachi & Sushi Eatery,FL,3.5,Japanese
Forty Five Degrees,IN,4.0,Chinese
India's Grill Tampa,FL,4.0,Indian
Thai Chan,IN,4.0,Thai
Secret Bao,CA,4.5,Korean
Tun-Du-Ree,FL,3.0,Indian
Kabuto Japanese Steak Seafood & Sushi,TN,3.0,Japanese
Sukey's China Restaurant,IL,3.0,Chinese
Chow Express,IN,4.0,Chinese
Uncommon Ramen,PA,3.5,Japanese
KC's Pastries,PA,4.0,Chinese
KC Chinese Rotisserie Restaurant,MO,4.5,Chinese
Godavari,DE,3.5,Indian
Teriyaki Madness,ID,3.5,Japanese
Osaka Japanese Restaurant,TN,4.0,Japanese
Island Sushi & Ramen,ID,4.5,Japanese
Sake Japanese Restaurant,TN,4.0,Japanese
Taj Indian Cuisine,PA,3.5,Indian
88 China,IL,4.0,Chinese
China Park,FL,3.0,Chinese
International Super Buffet,DE,1.0,Japanese
Abacus Chinese Restaurant,PA,3.5,Chinese
Cafe 900,PA,3.0,Vietnamese
Chix & Wings,PA,3.5,Korean
China Palace,PA,4.0,Chinese
China Garden,IN,4.0,Chinese
Chu Shang Spicy 厨尚麻辣,PA,3.0,Chinese
BluWave Sushi,FL,3.5,Vietnamese
Tokyo Hibachi & Sushi Buffet,NJ,3.0,Japanese
Seasoned Wok,NJ,3.5,Chinese
MAMA Thai,PA,4.0,Thai
Orchid Asian Fusion,NJ,4.0,Thai
Indian Cuisine,PA,3.5,Indian
China Wok,FL,2.5,Chinese
Sakura hibachi sushi thai,PA,4.0,Thai
Canton Chinese Restaurant,TN,2.0,Chinese
Bamboo,IN,4.0,Chinese
Pholicious,PA,4.5,Vietnamese
Phaya Thai Street Food,IN,4.5,Thai
Food King,IN,4.0,Chinese
Chinatown Express,MO,2.5,Chinese
Zhang's China House,PA,4.0,Chinese
Ate's,TN,5.0,Japanese
Hmart,PA,4.0,Korean
China Pasta House,AZ,4.0,Chinese
Rasa Sayang,DE,4.0,Indian
Yim's Produce & Seafood,NV,4.5,Korean
Omikoshi Japanese Restaurant,TN,2.5,Japanese
Chinatown Restaurant,TN,3.5,Chinese
Teriyaki Madness,NJ,3.5,Japanese
Maple Japanese Ramen,PA,4.5,Japanese
Zang Chi,MO,3.0,Chinese
Noble Rice,FL,4.0,Japanese
Little Basil Asian Kitchen,PA,3.5,Indian
Indian Restaurant 722,PA,4.5,Indian
Yangtze River Chinese Restaurant,NJ,2.5,Chinese
New China Inn Buffet,NJ,3.5,Chinese
JJ Sushi,NV,4.0,Japanese
Hong KONG Kitchen,NJ,2.5,Chinese
Panda House,AZ,4.0,Chinese
Frosty's Caffe,LA,4.5,Vietnamese
Oriental Sakura,NJ,3.5,Chinese
Siu Kee Duck House,PA,4.0,Chinese
Ginza Japanese Restaurant,TN,3.0,Japanese
Smiley Thai and Sushi,TN,4.5,Thai
Jaffron Indian Restaurant,PA,4.0,Indian
Chestnut Hill Sushi,PA,4.0,Japanese
eHotPot,AZ,4.5,Chinese
Thai Table,MO,4.0,Thai
Go Hyang San Chun,PA,4.0,Korean
Lee's Cafe and Bistro,PA,4.5,Vietnamese
Shintomi Japanese Restaurant,TN,3.0,Japanese
Mama Thai,LA,4.5,Thai
New Phnom Penh,PA,4.0,Vietnamese
Royal Sweets,FL,3.0,Indian
Nom Nom Ramen,PA,4.0,Japanese
Rai Rai Ramen,PA,3.5,Japanese
Sultan Indian Cuisine,PA,4.0,Indian
Panda Express,DE,2.5,Chinese
Andy's Chicken,PA,4.5,Korean
Wasabi Japanese Steakhouse and Sushi,FL,2.5,Japanese
Ching Garden,IN,3.5,Chinese
Pearl Garden,PA,2.5,Chinese
Fulin House,MO,3.5,Chinese
Kim Sum,NJ,4.5,Chinese
Ocean Palace,PA,2.0,Chinese
Thai Lanna,IN,4.0,Thai
Heng's Thai Express,PA,4.0,Thai
Sakura Teriyaki,PA,3.5,Chinese
Circles Contemporary Thai,PA,3.5,Thai
Dynasty Buffet Sushi & Hibachi,MO,3.5,Chinese
Happy Teriyaki,ID,4.0,Japanese
Biryani Bowl,PA,3.5,Indian
China 1,FL,3.0,Chinese
Sushi House,IN,4.0,Japanese
China King,NV,4.0,Chinese
Woo Chon,NV,3.0,Japanese
Umi 2,LA,4.5,Japanese
T Bowl,PA,2.0,Chinese
Blue Sushi Sake Grill,IN,4.5,Japanese
Aroi Thai & Asian Bistro,PA,4.0,Thai
Matoi Sushi,FL,4.0,Korean
Panda Pavilion,PA,3.0,Chinese
Pei Wei,PA,3.0,Chinese
Fu Li Yuan,PA,3.5,Chinese
Ichiban Japanese Restaurant,AZ,3.5,Japanese
China Hing,IL,3.0,Chinese
Mui Chung,PA,3.0,Chinese
Sakura King,FL,3.0,Chinese
Deep Indian Cuisine,IN,3.5,Indian
Tamira,CA,4.5,Indian
Tokyo Sushi,PA,4.5,Japanese
Park Chop Suey,MO,3.5,Chinese
Beijing Chinese Cuisine,LA,3.0,Chinese
Liang's Bistro Asian Cuisine,FL,4.0,Thai
Issho Sushi And Steakhouse,PA,4.5,Japanese
Panda Express,FL,3.0,Chinese
The Mango Tree Japanese Fusion Cuisine,FL,4.0,Japanese
Chins Wok,MO,3.5,Chinese
Pho NOLA,LA,4.0,Vietnamese
Wok N Roll,FL,2.5,Chinese
China Inn,IN,3.5,Chinese
Thai Gourmet Market,FL,4.5,Thai
The Birdhouse,TN,4.0,Korean
Empress Palace,NJ,3.5,Chinese
Pho King,LA,4.0,Vietnamese
Tiffin,PA,4.0,Indian
Sa-Bai-Dee,PA,4.5,Thai
Wings Express,TN,3.5,Chinese
Maru Studio,IN,4.5,Korean
China King,MO,4.0,Chinese
Zen Bento,ID,3.5,Japanese
Tiffin Elkins Park,PA,3.0,Indian
Caribbean Crown,FL,4.5,Indian
Ohana Sushi,NV,4.5,Japanese
Mali Thai,AZ,4.0,Thai
SukhoThai,LA,3.5,Thai
China House,MO,4.0,Chinese
Mandarin Buffet,AZ,1.5,Chinese
Hibachi Grill & Supreme Buffet,TN,3.0,Chinese
Maki Mojo,TN,4.5,Thai
Panda House Chinese Restaurant,NV,3.5,Chinese
Tegry Bistro,IN,3.5,Japanese
Xin Rong Restaurant,PA,4.0,Chinese
China Noodles,NV,3.5,Chinese
Fuji Japanese Restaurant,NJ,4.0,Japanese
Nui Nui Kitchen,PA,4.5,Thai
The DeLuxe,NV,4.5,Korean
Poké Falls,FL,4.5,Japanese
Taste of Punjab Indian Cuisine,FL,4.5,Indian
Ijji 2 Sushi & Japanese Steakhouse,NV,3.5,Japanese
Tokyo Mandarin,NJ,3.0,Chinese
Saffron Indian Market,PA,4.0,Indian
Discovery Indian Cuisine,FL,4.5,Indian
Cozara,PA,3.5,Japanese
Panda Pavillion,MO,3.5,Chinese
Arigato Sushi,CA,4.0,Japanese
Zaikka Indian Grill,DE,3.5,Indian
Happy Teriyaki - Meridian,ID,4.0,Japanese
Super China Buffet,PA,2.0,Chinese
Shagun Palace Exton,PA,3.0,Indian
Mazza,DE,3.0,Indian
China Tokyo,TN,4.0,Chinese
